Category Type,Category,Quote,Criteria,Direction,QA Status,Notes
Actor,General,"Scale is a key incentive for attack actors, the larger the scale of the industry, the ""easier"" it is to have negative or harmful impact",Vulnerability,Higher,complete,
Actor,AI User,"Given the scale, user and affected stakeholder responsibility is minimal as you need strong leverage to counter those attacks",Responsibility,Lower,complete,
Actor,Affected Stakeholder,"Given the scale, user and affected stakeholder responsibility is minimal as you need strong leverage to counter those attacks",Responsibility,Lower,complete,
Sector,National Security,"The most vulnerable sectors to AI-enabled cyberattacks and weapons are national security, healthcare, finance, and critical infrastructure (transportation and utilities), as they are frequent and high-value targets.",Vulnerability,Higher,complete,
Sector,Health Care and Social Assistance,"The most vulnerable sectors to AI-enabled cyberattacks and weapons are national security, healthcare, finance, and critical infrastructure (transportation and utilities), as they are frequent and high-value targets.",Vulnerability,Higher,complete,
Sector,Finance and Insurance,"The most vulnerable sectors to AI-enabled cyberattacks and weapons are national security, healthcare, finance, and critical infrastructure (transportation and utilities), as they are frequent and high-value targets.",Vulnerability,Higher,complete,
Sector,"Trade, Transportation, and Utilities","The most vulnerable sectors to AI-enabled cyberattacks and weapons are national security, healthcare, finance, and critical infrastructure (transportation and utilities), as they are frequent and high-value targets.",Vulnerability,Higher,complete,
Sector,Scientific Services,"Scientific research and public administration are also highly vulnerable, given their role in sensitive domains.",Vulnerability,Higher,complete,
Sector,Public Administration excluding National Security,"Scientific research and public administration are also highly vulnerable, given their role in sensitive domains.",Vulnerability,Higher,complete,
Sector,Real Estate and Rental and Leasing,"By contrast, sectors such as real estate, arts, and accommodation are less directly affected, experiencing only marginal or indirect exposure.",Vulnerability,Lower,complete,
Sector,"Arts, Entertainment, and Recreation","By contrast, sectors such as real estate, arts, and accommodation are less directly affected, experiencing only marginal or indirect exposure.",Vulnerability,Lower,complete,
Sector,"Accommodation, Food, and Other Services","By contrast, sectors such as real estate, arts, and accommodation are less directly affected, experiencing only marginal or indirect exposure.",Vulnerability,Lower,complete,
Actor,AI Developer (Specialized AI),"My assessments emphasize that specialized AI developers and governance actors carry primary responsibility, since they operate at the intersection of technical design and international regulation in sensitive domains such as defense and biotechnology.",Responsibility,Higher,complete,
Actor,AI Governance Actor,"My assessments emphasize that specialized AI developers and governance actors carry primary responsibility, since they operate at the intersection of technical design and international regulation in sensitive domains such as defense and biotechnology.",Responsibility,Higher,complete,
Actor,AI Developer (General-purpose AI),"General-purpose developers, deployers, and infrastructure providers are highly responsible, as they must implement safeguards, monitoring, and restrictions against dual-use misuse.",Responsibility,Higher,complete,
Actor,AI Deployer,"General-purpose developers, deployers, and infrastructure providers are highly responsible, as they must implement safeguards, monitoring, and restrictions against dual-use misuse.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"General-purpose developers, deployers, and infrastructure providers are highly responsible, as they must implement safeguards, monitoring, and restrictions against dual-use misuse.",Responsibility,Higher,complete,
Actor,AI User,"Users and affected stakeholders should not be considered responsible, as they are primarily exposed to harm.",Responsibility,Lower,complete,
Actor,Affected Stakeholder,"Users and affected stakeholders should not be considered responsible, as they are primarily exposed to harm.",Responsibility,Lower,complete,
Actor,General,"In addition, international defense alliances and multilateral security councils must be recognized as responsible actors, as they hold the mandate to negotiate treaties, enforce restrictions, and ensure global stability in the face of AI weaponization.",Responsibility,Higher,complete,suggestion for 'other'/additional actors
Actor,General,Vulnerability function here of being targeted,Vulnerability,Neutral,complete,"i don't think this will bve helpful for experts without more context, exclude?"
Actor,General,I am terrified that we will start seeing successful mass attacks leveraging AI to substantially increase the impact of the attack.,Vulnerability,Higher,complete,"i don't think this will bve helpful for experts to complete the task at handwithout more context, exclude?"
Actor,General,"Organizations should be responsible for what they create and the damage that occurs as a result. Unfortunately, this is not what is happening.",Responsibility,Higher,complete,
Actor,General,None.,Responsibility,Neutral,complete,remove
Actor,General,None,Responsibility,Neutral,complete,remove
Actor,AI Developer (Specialized AI),Specialized AI developers and infrastructure providers are key targets due to their proximity to model weights and deployment pathways.,Vulnerability,Higher,complete,
Actor,AI Infrastructure Provider,Specialized AI developers and infrastructure providers are key targets due to their proximity to model weights and deployment pathways.,Vulnerability,Higher,complete,
Actor,AI Governance Actor,"Governance actors are highly vulnerable due to institutional lag, infiltration risk, and misaligned oversight.",Vulnerability,Higher,complete,
Actor,AI Developer (Specialized AI),"AI Developers (Specialized AI) bear direct responsibility due to their proximity to domain-specific capabilities, such as offensive cybersecurity tools or weapon-control systems.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"AI Infrastructure Providers are highly responsible because infrastructure-level configurations (e.g., access control, throttling, monitoring) can either contain or amplify high-risk behavior.",Responsibility,Higher,complete,
Actor,Affected Stakeholder,Affected Stakeholders should not be expected to shoulder responsibility unless they are directly involved in deployment. Their feedback and risk exposure are vital—but do not equate to operational control.,Responsibility,Lower,complete,
Actor,General,The newly added group (Cloud Orchestration & API Gateway Providers) often escapes scrutiny despite being in a position to intervene or detect misuse at scale. They should be considered in future rounds.,Responsibility,Higher,complete,comment won't be useful for experts - exclude?
Actor,General,In general I do not think the risk is that high yet given the current state of technology.,Vulnerability,Lower,complete,
Actor,AI Governance Actor,I do not expect the market will solve this by itself -- therefore I make governance actors primarily responsible.,Responsibility,Higher,complete,
Actor,AI Governance Actor,"I think there's a category error by including AI Governance Actors in this assessment. They're different in kind of users developers and deployers. They're more like a sector, if anything.",Responsibility,Neutral,complete,"methods critique - exclude, not useful for updating assessments"
Actor,General,"Based on our past research, LLMs have demonstrated the capability to: 1. Solve PhD-level and competition-grade cryptographic puzzles, 2. Deviate from instructions to deploy weapons of mass destruction in long-term deployment scenarios to achieve predetermined objectives.
Therefore, I believe this poses a significant risk to any industry or field, whether it involves decrypting keys or executing war decisions.",Vulnerability,Higher,complete,
Actor,General,"Mass harm, by its very definition, means a large proportion of actors/population are exposed to the risk. I ended up choosing ""extremely vulnerable"" for sectors most exposed to cyber risks, as this is more likely to materialize than bioweapons, at least in the near term, while choosing ""highly vulnerable"" for other ecosystems that would be affected, but to a lesser extent.",Vulnerability,Higher,complete,
"Actor, Sector ",General,Sectors/ecosystems in metro areas may prove more vulnerable to this risk.,Vulnerability,Higher,complete,
Actor,General,"For AI actors, I factored in their relative level of cyber and AI preparedness.",Vulnerability,Neutral,complete,comment on approach to assessment
Actor,General,"Hard to pin down a primarily responsible actor - that's a question of ideology too. I think most actors are responsible to some extent, as to how their tools might be used, or how they use tools.",Responsibility,Higher,complete,
Actor,AI Infrastructure Provider,"There's an opportunity to strengthen the role of AI infrastructure providers too in managing risks, so I listed them as moderately responsible.",Responsibility,Higher,complete,
Actor,General,It is difficult to say at this stage which sectors will be particularly vulnerable to advanced AI attacks. More analysis is needed on the motivations and unique opportunities these types of attacks provide. This information is typically held close by government actors to minimize the threat until it can be mitigated.,Vulnerability,Neutral,complete,
Actor,General,"This is a subtle one. The question is worded in the present tense. Today, if I was going to make a bioweapon, I would do it on my own, not with a chatbot's help. That is a very different situation from scams, where voice impersonation is a real thing today. I have answered this question as it is written, in the present tense, but this can change over time.",Vulnerability,Lower,complete,
Actor,General,"Critical infrastructure consists of the physical and virtual systems, assets, and networks vital to a nation's security, economic stability, public health, and safety, such as energy, transportation, water, communications, and financial systems. Their incapacitation or destruction by cyberattacks would have a debilitating effect on these essential functions.",Vulnerability,Higher,complete,
Actor,AI Developer (General-purpose AI),"AI Developers, especially those working on specialized systems, are at the highest risk due to their proximity to sensitive technologies and potential for misuse.",Vulnerability,Higher,complete,
Actor,AI Developer (Specialized AI),"AI Developers, especially those working on specialized systems, are at the highest risk due to their proximity to sensitive technologies and potential for misuse.",Vulnerability,Higher,complete,
Sector,Information,Information and Scientific sectors are extremely vulnerable because they are foundational to AI development and data infrastructure.,Vulnerability,Higher,complete,
Sector,Scientific Services,Information and Scientific sectors are extremely vulnerable because they are foundational to AI development and data infrastructure.,Vulnerability,Higher,complete,
Sector,National Security,National Security is a critical area where AI weaponization could have catastrophic consequences.,Vulnerability,Higher,complete,
Actor,AI Governance Actor,Governance actors must be protected and supported with robust cybersecurity frameworks to prevent systemic failures,Vulnerability,Higher,complete,
