Category,Type,Quote,Criteria,Direction,
Actor,AI Developer (General-purpose AI),General-purpose AI Developers were marked as Primarily responsible because they define foundational capabilities and constraints that directly influence downstream autonomy risks.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),General-purpose developers remain highly responsible as they should embed human-centered design principles.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),GPAI Developers (extreme). A push toward self-automating AI R&D (auto-evals auto-red-teaming agentic pipelines) can displace researcher judgment which are key decisions.,Vulnerability,Higher,
Actor,AI User,Those few that develop the tech that changes society ultimately are responsible for that change for the better or the worse BUT users should be informed users that are focal about negative consequences of tech and vote with their wallets in no supporting tech that disenfranchises large swathes of peoples.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),I made the devs highly vulnerable as I believe software engineering to be one of the first professions to be fully AI automated because the labor cost is very high followed by the legal and medical professions,Vulnerability,Higher,
Actor,AI Developer (General-purpose AI),Developers of GAI are ultimately responsible for the loss of agency. All other actor should be considered highly responsible. Infrastructure provider to a lesser extent as they are enabler,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),I feel like the general and specialized AI developers needs to be resp on how AI can be used and how we dont have a loss of agency. If we do we are doomed as the AI would probably make really bad choices based on the biased information it has been trained on.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),The most critical responsibility lies with those who build foundational capabilities and deployment patterns that either preserve or erode human agency. Some actors bear higher responsibility because agency loss in this way may be difficult to reverse once it occurs.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),"The AI developer is primarily responsible for designing new types of guardrails to prevent overreliance. For example, LLMs should incorporate more interactive UI and UX features that encourage users to engage critically with outputs. Without such measures critical thinking as we know it risks becoming obsolete.",Responsibility,Higher,
Actor,AI Developer (General-purpose AI),Even developers are vulnerable because they are likely to deploy autonomous agents to help with development and monitoring processes within their company and may develop dependencies and also erode their decision making capabilities.,Vulnerability,Higher,
Actor,AI Developer (Specialized AI),Specialized AI developers are also primarily responsible in high-stakes domains such as health justice and defense.,Responsibility,Higher,
Actor,AI Developer (Specialized AI),Specialized AI Developers are moderately vulnerable because they may over-delegate critical decisions to their own tools especially in fields like diagnostics or defense.,Vulnerability,Higher,
Actor,AI Developer (Specialized AI),I feel like the general and specialized AI developers needs to be resp on how AI can be used and how we dont have a loss of agency.,Responsibility,Higher,
Actor,AI Deployer,AI deployers and governance actors bear primary responsibility since they control how much decision-making power is delegated to AI and establish rules to preserve human oversight.,Responsibility,Higher,
Actor,AI Deployer,Deployers and Governance Actors were marked Highly responsible due to their role in implementation regulation and oversight.,Responsibility,Higher,
