Category,Type,Quote,Criteria,Direction,QA Status
Actor,AI Developer (General-purpose AI),General-purpose AI developers and infrastructure providers are primarily responsible since they design and operate the computational architectures that drive energy consumption and hardware use.,Responsibility,Higher,
Actor,AI Developer (General-purpose AI),The most responsible actors are the ones that impose AI without any alternatives as well as those that invest billions to build infrastructures and hardwares that bring environmental harms and conflicts of usage of certain resources (water electricity minerals).,Responsibility,Higher,
Actor,AI Developer (Specialized AI),Deployers and specialized AI developers are highly responsible because their deployment choices and optimization strategies significantly influence environmental efficiency.,Responsibility,Higher,
Actor,AI Developer (Specialized AI),Ai developers of specialised AI have the most power here because they can design their systems to minimize token consumption in their agentic workflows through elegant engineering and optimize parameter size of the model to complete the task at hand (smaller models for simpler tasks larger models for more complex tasks breaking down larger models into smaller ones before processing etc),Responsibility,Higher,
Actor,AI Deployer,Deployers and specialized AI developers are highly responsible because their deployment choices and optimization strategies significantly influence environmental efficiency.,Responsibility,Higher,
Actor,AI Infrastructure Provider,General-purpose AI developers and infrastructure providers are primarily responsible since they design and operate the computational architectures that drive energy consumption and hardware use.,Responsibility,Higher,
Actor,AI Infrastructure Provider,The most responsible actors are the ones that impose AI without any alternatives as well as those that invest billions to build infrastructures and hardwares that bring environmental harms and conflicts of usage of certain resources (water electricity minerals).,Responsibility,Higher,
Actor,AI User,While an immediate thought initially jumps to those individuals managing the build of and allocation of resources in compute centers users also have an obligation to interact with AI systems in a way that is thoughtful and that does not consume excessive resources-- e.g. why are individuals using ChatGPT like a google search?,Responsibility,Higher,
Actor,AI Governance Actor,Governance actors have high responsibility in setting sustainability standards and incentivizing greener practices.,Responsibility,Higher,
Actor,AI User,Users hold only moderate responsibility as their choices (e.g. preference for sustainable AI services) can exert market pressure but do not directly control systemic environmental impacts.,Responsibility,Lower,
Actor,AI User,For AI user the responsibility depends on whether the user has alternatives to the AI solution.,General Responsibility Comment ,General Responsibility Comment ,
Sector,All Sectors,As the definition of environmental harm includes energy consumption associated with the development and use of AI I have rated all sectors as extremely vulnerable - if the definition was tweaked a little the ratings could be more nuanced to reflect only the sectors that can do direct environmental harm with the AI e.g. mining transport,General Vulnerability Comment,General Vulnerability Comment,
Sector,All Sectors,Environmental harm caused by one entity/sector/group effects all of society.,General Vulnerability Comment,General Vulnerability Comment,
Sector,All Sectors,As AI has an impact on climate change everyone is a least minimally vulnerable to AI environmental harms.,General Vulnerability Comment,General Vulnerability Comment,
Sector,All Sectors,How do you measure the value of a public good? Environmental effects are very broad -- climate health etc. Sectors may be affected depending on intensity of AI use or dependence on external environmental conditions but the effects don't really discriminate.,General Vulnerability Comment,General Vulnerability Comment,method critique 
Sector,All Sectors,What I mean here is the effects of a possible future AI takover which is likely to lead to complete environmental devastation killing everyone. When it comes to the more dominant present-day discourse about the use of present-day LLMs and their carbon footprint etc there is less reason for concern. If that is what you have in mind change extremely vulnerable to minimally vulnerable throughout.,General Vulnerability Comment,General Vulnerability Comment,
Sector,All Sectors,We're all vulnerable!,General Vulnerability Comment,General Vulnerability Comment,
Sector,Manufacturing,Sectors with intensive data infrastructure and energy requirements (e.g. manufacturing transportation research healthcare and public administration) are highly to extremely vulnerable to environmental harm due to the high carbon and material footprint of AI deployment.,Vulnerability,Higher,
Sector,Manufacturing,All stakeholders in the mining manufacturing and e-waste are in particular directly concerned by AI environmental harms. AI will increase the need for hardware and the related mining and manufacturing environmental impacts.,Vulnerability,Higher,
Sector,Transportation,Sectors with intensive data infrastructure and energy requirements (e.g. manufacturing transportation research healthcare and public administration) are highly to extremely vulnerable to environmental harm due to the high carbon and material footprint of AI deployment.,Vulnerability,Higher,
Sector,Research,Sectors with intensive data infrastructure and energy requirements (e.g. manufacturing transportation research healthcare and public administration) are highly to extremely vulnerable to environmental harm due to the high carbon and material footprint of AI deployment.,Vulnerability,Higher,
Sector,Healthcare,Sectors with intensive data infrastructure and energy requirements (e.g. manufacturing transportation research healthcare and public administration) are highly to extremely vulnerable to environmental harm due to the high carbon and material footprint of AI deployment.,Vulnerability,Higher,
Sector,Public Administration,Sectors with intensive data infrastructure and energy requirements (e.g. manufacturing transportation research healthcare and public administration) are highly to extremely vulnerable to environmental harm due to the high carbon and material footprint of AI deployment.,Vulnerability,Higher,
Sector,National Security,National security is especially exposed because of defense-related AI applications that demand massive computational power and continuous system readiness.,Vulnerability,Higher,
Sector,Finance,Finance real estate and accommodation services are only minimally to moderately vulnerable as their operations involve lighter computational intensity and can more easily adopt efficiency measures.,Vulnerability,Lower,
Sector,Real Estate,Finance real estate and accommodation services are only minimally to moderately vulnerable as their operations involve lighter computational intensity and can more easily adopt efficiency measures.,Vulnerability,Lower,
Sector,Accommodation Services,Finance real estate and accommodation services are only minimally to moderately vulnerable as their operations involve lighter computational intensity and can more easily adopt efficiency measures.,Vulnerability,Lower,
Sector,Mining,All stakeholders in the mining manufacturing and e-waste are in particular directly concerned by AI environmental harms. AI will increase the need for hardware and the related mining and manufacturing environmental impacts.,Vulnerability,Higher,
Sector,General ,autonomous agents require a lot of tokens which in turn require a lot of power. Not only is this not economically viable it will also drive prices of energy and water up in general and not lead to any measurable productivity gain. But until anyone admits this it will be too late.,General Vulnerability Comment,General Vulnerability Comment,
Sector,General ,Environmental harms hurt stakeholders indirectly which made it hard to decide who would be most affected. I answered both for which sectors are most vulnerable to effects of climate change but also who may be vulnerable to other issues related to the environmental harms (ESG risks energy costs ...),General Vulnerability Comment,General Vulnerability Comment,
General,General ,The indirect application-related environmental risks should be explicitly considered.,General Vulnerability Comment,General Vulnerability Comment,
Summary,AI Developer (General-purpose AI),Comments emphasized GPAI developers' primary responsibility due to their role in designing computational architectures that drive energy consumption and investing billions in infrastructure that causes environmental harms and resource conflicts.,Responsibility,Higher,
Summary,AI Developer (Specialized AI),"Expert comments highlighted specialized developers' high responsibility through their power to optimize system design, minimize token consumption in workflows, and appropriately size models for tasks to improve environmental efficiency.",Responsibility,Higher,
Summary,AI Deployer,Comments noted deployers' high responsibility because their deployment choices and optimization strategies significantly influence environmental efficiency.,Responsibility,Higher,
Summary,AI Infrastructure Provider,"Comments emphasized infrastructure providers' primary responsibility for operating computational architectures driving energy consumption and investing in environmentally harmful infrastructure requiring water, electricity, and minerals.",Responsibility,Higher,
Summary,AI User,"Comments varied on user responsibility, with some emphasizing obligations to interact thoughtfully without excessive resource consumption, while others noted users have only moderate responsibility through market pressure but lack direct control.",Responsibility,Higher,
Summary,AI User,One perspective suggested users hold only moderate responsibility as their sustainable service preferences can exert market pressure but don't directly control systemic impacts.,Responsibility,Lower,
Summary,AI Governance Actor,Comments highlighted governance actors' high responsibility for setting sustainability standards and incentivizing greener practices.,Responsibility,Higher,
Summary,"Agriculture, Mining, Construction and Manufacturing","Comments characterized these sectors as highly vulnerable, particularly mining and manufacturing due to increased hardware needs and related environmental impacts from AI adoption.",Vulnerability,Higher,
Summary,"Trade, Transportation, and Utilities",Comments identified transportation as highly vulnerable due to intensive data infrastructure and energy requirements creating high carbon and material footprints from AI deployment.,Vulnerability,Higher,
Summary,Information,No specific comments provided for this sector's vulnerability to environmental harm.,Vulnerability,N/A,
Summary,Finance and Insurance,Comments suggested finance faces minimal to moderate vulnerability as operations involve lighter computational intensity and can more easily adopt efficiency measures.,Vulnerability,Lower,
Summary,Real Estate and Rental and Leasing,Comments characterized real estate as minimally to moderately vulnerable due to lighter computational intensity and easier adoption of efficiency measures.,Vulnerability,Lower,
Summary,Professional and Technical Services,No specific comments provided for this sector's vulnerability to environmental harm.,Vulnerability,N/A,
Summary,Scientific Research and Development,Comments noted research sectors as highly to extremely vulnerable due to intensive data infrastructure and energy requirements with high carbon and material footprints.,Vulnerability,Higher,
Summary,"Management, Administrative, and Support Services",No specific comments provided for this sector's vulnerability to environmental harm.,Vulnerability,N/A,
Summary,Educational Services,No specific comments provided for this sector's vulnerability to environmental harm.,Vulnerability,N/A,
Summary,Health Care and Social Assistance,Comments identified healthcare as highly to extremely vulnerable due to intensive data infrastructure and energy requirements creating high carbon footprints from AI deployment.,Vulnerability,Higher,
Summary,"Arts, Entertainment, and Recreation",No specific comments provided for this sector's vulnerability to environmental harm.,Vulnerability,N/A,
Summary,"Accommodation, Food, and Other Services",Comments suggested accommodation services face minimal to moderate vulnerability due to lighter computational intensity and easier adoption of efficiency measures.,Vulnerability,Lower,
Summary,Public Administration excluding National Security,Comments characterized public administration as highly to extremely vulnerable due to intensive data infrastructure and energy requirements with high carbon and material footprints.,Vulnerability,Higher,
Summary,National Security,Comments emphasized national security as especially exposed due to defense-related AI applications demanding massive computational power and continuous system readiness.,Vulnerability,Higher,
