Category,Type,Quote,Criteria ,Direction,QA Status
Actor,AI Developer (General-purpose AI),"Responsibility for addressing dangerous AI capabilities sits primarily with AI developers (both general and specialized) and AI governance actors, as they design, release, and regulate models that could be exploited for large-scale harm.",responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"I rated model makers primarily responsible because dangerous capabilities first and foremost occur when models are trained a certain way. Such capabilities are only present after extensive investment into training and often done without supervision, hence it falls first on model developers.",responsibility,higher,complete
Actor,AI Developer (General-purpose AI),General-purpose developers and deployers must shoulder primary responsibility due to their proximity to core capabilities and deployment vectors.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),Responsibility rests with the developers and the governance organizations responsible for compelling them to develop safe tools.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"This is a weird one, vulnerability is indirect. One could also see it as harming AI developers as they would need to take more precautions.",vulnerability,higher,complete
Actor,AI Developer (General-purpose AI),A bit weird since it is not like it is easy to avoid dangerous capabilities for GPAIs. But a ban on AI progress and/or extreme unlearning could help.,general comment,general comment,complete
Actor,AI Governance Actor,Almost all dangerous capabilities stem from dual-use skills. Model developers do not have the right incentives for mitigating dangerous capabilities. Governance actors must craft policy here.,responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"Once dangerous capabilities exist, containing them becomes exponentially harder. Primary responsibility lies with those who can prevent development or deployment. Both technical control (developers) and regulatory oversight (governance) are essential.",responsibility,higher,complete
Actor,AI Developer (General-purpose AI),"Only developers have reasonable capability to intervene on this, while only governments have a strong obligation to do so on the behalf of their citizens.",responsibility,higher,complete
Actor,AI Developer (Specialized AI),"Responsibility for addressing dangerous AI capabilities sits primarily with AI developers (both general and specialized) and AI governance actors, as they design, release, and regulate models that could be exploited for large-scale harm.",responsibility,higher,complete
Actor,AI Deployer,General-purpose developers and deployers must shoulder primary responsibility due to their proximity to core capabilities and deployment vectors.,responsibility,higher,complete
Actor,AI Deployer,Deployers are responsible for securing AI systems.,responsibility,higher,complete
Actor,AI Governance Actor,"Model deployers are under strong pressures to maximize realized capabilities in dangerous areas (e.g. cybersecurity), and arguably have little obligation to not maximize capabilities. Therefore, AI governance actors do.",responsibility,higher,complete
Actor,AI Deployer,"Deployers and infrastructure providers share high responsibility by controlling access, monitoring misuse, and enforcing policies.",responsibility,higher,complete
Actor,Commentary,"The deployer ecosystem is evolving rapidly into a multi-agent ecosystem with infrastructure, models, data, tools and agents all able to be provisioned a la carte. This increases the challenges of identifying accountable parties - whoever owns the workload is responsible for its activity, but determining accountability among shared responsibilities is challenging.",general responsibility comment,general responsibility comment,complete
Actor,AI Governance Actor,"Responsibility for addressing dangerous AI capabilities sits primarily with AI developers (both general and specialized) and AI governance actors, as they design, release, and regulate models that could be exploited for large-scale harm.",responsibility,higher,complete
Actor,AI Governance Actor,"The main risk driver is are bad and careless actors, markets will not solve this, governance solutions are needed.",responsibility,higher,complete
Actor,AI Governance Actor,Responsibility rests with the developers and the governance organizations responsible for compelling them to develop safe tools.,responsibility,higher,complete
Actor,AI Governance Actor,Governance bodies need to enforce provenance of digital activity in order to hold deployers accountable for risks here.,responsibility,higher,complete
Actor,AI Governance Actor,Almost all dangerous capabilities stem from dual-use skills. Model developers do not have the right incentives for mitigating dangerous capabilities. Governance actors must craft policy here.,responsibility,higher,complete
Actor,AI Governance Actor,"Model deployers are under strong pressures to maximize realized capabilities in dangerous areas (e.g. cybersecurity), and arguably have little obligation to not maximize capabilities. Therefore, AI governance actors do.",responsibility,higher,complete
Actor,AI Governance Actor,"Only developers have reasonable capability to intervene on this, while only governments have a strong obligation to do so on the behalf of their citizens.",responsibility,higher,complete
