Category,Type,Quote,Criteria,Direction,QA Status,Comments
Actor,AI Developer (General-purpose AI),General-purpose developers and governance actors are highly responsible as they must prevent anthropomorphization and ensure regulatory safeguards.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Companies putting AI into products are overselling their capabilities and ignoring the risks.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose AI) - Primarily responsible - Must embed safeguards transparency and guardrails into design.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),In this case developers are highly responsible because they may refine models to drive more engagement or to make relationships more convincing which may exacerbate vulnerability.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),primary responsibility lies with AI vendors who profit from overreliance on their systems.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Primary responsibility lies with developers deployers and infrastructure providers as they design and control the conditions under which overreliance occurs.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),No single actor can address this alone and it requires coordinated effort across the ecosystem. Those with the greatest technical capability and control should bear more responsibility as end users often can't assess AI limitations placing a higher burden on developers/deployers.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),The AI developer is primarily responsible for designing new types of guardrails to prevent overreliance. For example LLMs should incorporate more interactive UI and UX features that encourage users to engage critically with outputs. Without such measures critical thinking as we know it risks becoming obsolete.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),While responsibility falls on governance actors to address these risks the capability to do so remains with the developers making them most responsible.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Primary responsibility should be in the hands of the AI developer in order to not have rogue AIs plundering our societies,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),deployers and specialized AI developers bear primary responsibility as they control the design and application of systems in critical domains.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Primarily responsible: Specialized AI developers are building high-stakes systems (e.g. health education companionship) and must anticipate emotional dependency.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI Developer (Specialized AI) - Primarily responsible - Build domain-specific systems where reliance risks are severe.,Responsibility,Higher,,
Actor,AI Deployer,deployers and specialized AI developers bear primary responsibility as they control the design and application of systems in critical domains.,Responsibility,Higher,,
Actor,AI Deployer,AI Deployer - Highly responsible - Influence user trust via deployment context guidance and interfaces.,Responsibility,Higher,,
Actor,AI Deployer,However deployers are most responsible as they must assess the model and how it's being used in order to mitigate these harms.,Responsibility,Higher,,
Actor,AI Deployer,Primary responsibility lies with developers deployers and infrastructure providers as they design and control the conditions under which overreliance occurs.,Responsibility,Higher,,
Actor,AI User,When engaging with AI Systems end users enter into a social contract with the system that they should use it for its intended purpose. Creating unsafe situations-- like the end-user opting to use ChatGPT for mental health therapy despite it not being a specialized system that should be used for therapy is wholly reflective of the user's decision making.,Responsibility ,Higher,,
