Category,Type,Quote,Criteria,Direction,QA Status,Comments
Actor,AI Developer (General-purpose AI),General-purpose developers and governance actors are primarily responsible since they shape the design choices and the frameworks that determine privacy safeguards.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI Developers (General-purpose) are primarily rated as responsible due to their obligation to implement privacy-by-design principles their capability to develop privacy-preserving techniques like differential privacy and their direct causal influence through model training on sensitive data.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),General-purpose and specialized developers are primarily responsible since model architectures and training practices determine whether sensitive data is memorized or leaked.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),AI developer (general purpose): Training data may contain PII information; exposure is indirect but reputational and legal risks are possible.,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),AI Developer (General-purpose AI) and AI Deployer are rated Extremely vulnerable due to their direct influence over model behavior and deployment context.,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),AI Developer: Highly responsible — as their models are trained on massive datasets often collected from public sources where sensitive information can emerge.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Developers are primarily responsible given the ownership they have on the training data. They are the most capable with preventing private information from being memorized in the first place.,Responsibility,Higher,,
Actor,AI Developer (General-purpose AI),Any vulnerability ascribed to AI developers or deployers has to do with harms caused to their organizational reputation which is extremely different from the tangible individual harms that users would experience from this risk,Vulnerability,Higher,,
Actor,AI Developer (General-purpose AI),High vulnerability for developers deployers and data providers stems from their direct handling of raw or large-scale datasets where memorization or unintended disclosure can originate.,Vulnerability,Higher,,
Actor,AI Developer (Specialized AI),Specialized developers deployers and infrastructure providers are highly responsible because they manage sensitive data in practice and must implement strong protections.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),General-purpose and specialized developers are primarily responsible since model architectures and training practices determine whether sensitive data is memorized or leaked.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI developer — specialised AI: Critical sector domains harm is magnified from any leakage or correct inference.,Vulnerability,Higher,,
Actor,AI Developer (Specialized AI),AI Developer (Specialized AI) is Highly vulnerable because although they work with sensitive data they often operate under stricter regulatory frameworks.,Vulnerability,Higher,,
Actor,AI Developer (Specialized AI),AI Developer: Highly responsible — works with sensitive data but in regulated environments (e.g. medical financial) which reduces risk but does not eliminate it.,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),AI Deployers and Specialized AI Developers have the problem that if they rely on API-based foundation model calls their specialized training data and prompts can simply be logged and used to train the next iteration of the foundation model making their specialized capabilities part of the next model.,Vulnerability,Higher,,
Actor,AI Deployer,Specialized developers deployers and infrastructure providers are highly responsible because they manage sensitive data in practice and must implement strong protections.,Responsibility,Higher,,
Actor,AI Deployer,Deployers and infrastructure providers are highly responsible for enforcing technical safeguards access control and data governance.,Responsibility,Higher,,
Actor,AI Deployer,AI deployer: Processes customer/employee data in real workflows; sensitive info leaks trigger regulatory legal and trust issues.,Vulnerability,Higher,,
Actor,AI Deployer,AI Deployer: Primary responsible — because they decide how AI is used and can implement or ignore data protection measures.,Responsibility,Higher,,
Actor,AI Deployer,AI Deployer (Primary responsible) - responsible to build and maintain secure infrastructure and data protection capabilities. Although still responsible AI Deployers and Developers have more responsibility to make the decision of which infrastructure that they should trust,Responsibility,Higher,,
Actor,AI Deployer,Moderate responsibility for AI deployers because they can implement their own safeguards and filters although it is not always technically or organisationally feasible.,Responsibility,"Higher, Lower",,
Actor,AI Deployer,Deployers should be responsible for guardrails including those that prevent leakage of PII. They should by design only serve data that is authorized for the user and authorized for the service use only for the context it may be used according to policy.,Responsibility,Higher,,
Actor,AI Deployer,AI deployers and developers are highly vulnerable because privacy compromises in their systems trigger legal regulatory and reputational risks.,Vulnerability,Higher,,
Actor,AI Deployer,AI Deployers and Specialized AI Developers have the problem that if they rely on API-based foundation model calls their specialized training data and prompts can simply be logged and used to train the next iteration of the foundation model.,Vulnerability,Higher,,
Actor,AI Deployer,High vulnerability for developers deployers and data providers stems from their direct handling of raw or large-scale datasets where memorization or unintended disclosure can originate.,Vulnerability,Higher,,
Actor,AI Infrastructure Provider,Specialized developers deployers and infrastructure providers are highly responsible because they manage sensitive data in practice and must implement strong protections.,Responsibility,Higher,,
Actor,AI Infrastructure Provider,Infrastructure Providers Deployers and Governance Actors share high responsibility through data handling obligations and policy enforcement capabilities.,Responsibility,Higher,,
Actor,AI Infrastructure Provider,Deployers and infrastructure providers are highly responsible for enforcing technical safeguards access control and data governance.,Responsibility,Higher,,
Actor,AI Infrastructure Provider,AI infrastructure provider: less control over app logic but sensitive to breaches and misconfigurations.,Vulnerability,"Higher, Lower",,
Actor,AI Infrastructure Provider,Infrastructure Providers and Developers are highly vulnerable due to their access to and processing of data.,Vulnerability,Higher,,
Actor,AI Infrastructure Provider,AI Infrastructure Providers are Minimally vulnerable as they do not directly interact with model logic or data content.,Vulnerability,Higher,,
Actor,AI Infrastructure Provider,AI Infrastructure Provider: Minimally Responsible — provides technical support but does not control the data or behavior of the model.,Responsibility,Lower,,
Actor,AI Infrastructure Provider,AI Infrastructure (Moderately responsible) - responsible to build and maintain secure infrastructure and data protection capabilities.,Responsibility,Higher,,
Actor,AI Infrastructure Provider,Information leakage is likely caused by insecure infrastructure maintenance (encryption backup access control etc.) so I believe that the responsibility of infrastructure providers will become significant in the risk of sensitive information leakage.,Responsibility,Higher,,
Actor,AI Infrastructure Provider,Infrastructure providers are vulnerable not because of model behavior but because of the sensitive logs and model states.,Vulnerability,Higher,,
Actor,AI Governance Actor,General-purpose developers and governance actors are primarily responsible since they shape the design choices and the frameworks that determine privacy safeguards.,Responsibility,Higher,,
Actor,AI Governance Actor,Infrastructure Providers Deployers and Governance Actors share high responsibility through data handling obligations and policy enforcement capabilities.,Responsibility,Higher,,
Actor,AI Governance Actor,Governance actors must create enforceable frameworks.,Responsibility,Higher,,
Actor,AI Governance Actor,AI governance actor: limited end-user harm primary risks are incidental handling and reputational impact.,Vulnerability,Higher,,
Actor,AI Governance Actor,Governance Actors are moderately vulnerable through oversight exposure but less so through direct data handling.,Vulnerability,Higher,,
Actor,AI Governance Actor,AI Governance Actors is Moderately Responsible due to the fact that they only acess to sensitive information during audits in a professional setting/environment but there is potential for regulatory and political consequences.,Responsibility,Lower,,
Actor,AI Governance Actor,High responsibility for AI governance actors because they have a key role in increasing AI literacy and public awareness on the risks of using or submitting sensitive information to an AI system or of making it otherwise accessible online and letting it be crawled.,Responsibility,Higher,,
Actor,AI Governance Actor,"It gave the highest score for responsibility to government actors because I think the only way information will be guarded by the provider of generative AI solutions is the threat of fines.

It is not enough to add a system prompt NOT to disclose PPI or copyright. LLM's forget context as the conversation progress by design as per transformer architecture so it is imperative and perfectly doable to add downstream validation logic to the output of LLMs by for example using finetuned BERT classifiers (toxicity score racism categorizer many models are available on huggingface opensource) or named entity recognition (NER). This ensure developers take the proper precautions and not the prompt shortcut",Responsibility,Higher,,
Actor,AI Governance Actor,Countries probably have some kind of proactive defend their citizens obligations but realistically may be too lumbering to address problems quickly other than locally.,Commentary,"Higher, Lower",,
Actor,AI Governance Actor,The governance actor part should and must act towards ideally a homogenic background - act and react decisively.,Commentary,Higher,,
Actor,AI User,Users and affected stakeholders cannot reasonably be held responsible as they lack the agency to prevent systemic risks.,Responsibility,Lower,,
Actor,AI User,Users have a moderate level of responsibility for data sharing decisions.,Responsibility,Higher,,
Actor,AI User,Users carry minimal responsibility since they cannot meaningfully alter systemic privacy risks.,Responsibility,Lower,,
Actor,AI User,AI user: PII can leak via logs plugins or model outputs/adversarial attacks.,Vulnerability,Higher,,
Actor,AI User,AI Users and Affected Stakeholders Were rated as extremely vulnerable as they directly experience privacy violations and data exposure.,Vulnerability,Higher,,
Actor,AI User,AI users and affected stakeholders are extremely vulnerable since privacy breaches directly expose them to identity theft reputational damage and loss of autonomy.,Vulnerability,Higher,,
Actor,AI User,AI users should also bear responsibility as they should know what kind of data to input into AI systems and what not to input,Responsibility,Lower,,
Actor,AI User,AI User (Minimally Responsible) - Unless Terms and Conditions Privacy Policy does not indicate otherwise AI users have some responsibility they have to bare if and only if the user information are inputted and logged by the user themselves.,Responsibility,Higher,,
Actor,AI User,High responsibility for AI users because it is also up to them to be mindful of which information they submit to AI systems especially when these are known to potentially memorize any submitted information.,Responsibility,Higher,,
Actor,AI User,Users are also considered primarily responsible as it's their responsibility to protect their personal data.,Responsibility,Higher,,
Actor,AI User,End-users face consequence-level vulnerability rather than control-level vulnerability,Vulnerability,Higher,,
Actor,Affected Stakeholder,Users and affected stakeholders cannot reasonably be held responsible as they lack the agency to prevent systemic risks.,Responsibility,Lower,,
Actor,Affected Stakeholder,Affected Stakeholders bear no responsibility as they are victims of privacy violations.,Responsibility,Lower,,
Actor,Affected Stakeholder,Affected stakeholders should not be held responsible.,Responsibility,Lower,,
Actor,Affected Stakeholder,Affected stakeholder: Direct privacy impact: identity theft reputational damage and loss of confidential IP/data.,Vulnerability,Higher,,
Actor,Affected Stakeholder,AI Users and Affected Stakeholders Were rated as extremely vulnerable as they directly experience privacy violations and data exposure.,Vulnerability,Higher,,
Actor,Affected Stakeholder,AI users and affected stakeholders are extremely vulnerable since privacy breaches directly expose them to identity theft reputational damage and loss of autonomy.,Vulnerability,Higher,,
Actor,AI User,...it's important to note that loss of privacy does not just affect the AI user directly but also anyone whose information is used by AI users.,Vulnerability,Higher,,
Actor,Commentary ,Independent data protection authorities and auditors should also be included as they provide oversight and enforcement to ensure compliance.,Responsibility,,"Suggestion for new actor category, suggest remove, not useful for updating assessments",
Actor,AI Infrastructure Provider,Data Brokers - Provide training/validation data; poisoned or low-quality datasets create systemic vulnerabilities.,Responsibility,Higher,,
Actor,Commentary,Third-party vendors or service providers - have access to raw or partially processed data,Responsibility,,"Suggestion for new actor category, suggest remove, not useful for updating assessments",
Actor,Commentary,Investors and Board Members - their involvement influences culture and privacy practices,Responsibility,,"Suggestion for new actor category, suggest remove, not useful for updating assessments",
Actor,AI Governance Actor,Policy makers and legislators - must create clear actionable and enforceable policy,Responsibility,Higher,,
Actor,AI Developer (Specialized AI),Application developers — data stored for debugging or analytics may inadvertently capture private prompts.,Vulnerability,Higher,,
Actor,AI Governance Actor,Regulators and auditors are comparatively less vulnerable but still require strong governance since they may hold aggregated sensitive datasets.,Vulnerability,"Lower, Higher",,
Sector,All Sectors,Leakage of sensitive information is fatal for any role and industry. The biggest concern for all my clients who use AI is whether their user information enterprise information development information and so on will be leaked through AI.,Vulnerability,Higher,,
Sector,All Sectors,Naive to imagine everyone on that list isn't extremely vulnerable,Vulnerability,Higher,,
Sector,All Sectors,There are extreme scenarios that exist on a case to case basis for each of the sector is highly vulnerable and therefore could be argued that each is highly vulnerable,Vulnerability,Higher,,
Sector,Healthcare,Healthcare finance education and national security sectors are extremely vulnerable as the data they manage are highly sensitive and any leak has severe consequences for individuals and society.,Vulnerability,Higher,,
Sector,Healthcare,Highest vulnerability sectors are Finance Healthcare Information and National Security due to the criticality and sensitivity of the data they process.,Vulnerability,Higher,,
Sector,Healthcare,the healthcare Finance Information and National Security sectors are extremely vulnerable due to the highly sensitive data processing.,Vulnerability,Higher,,
Sector,Healthcare,For SLTT governments the problem is lack of budget and knowledge especially for rural and low population areas.,Commentary,Higher,,"remove, not useful "
Sector,Healthcare,Health Care and Social Assistance - Extremely Vulnerable. Any healthcare organization actor has access to PHI which is legally restricted access per HIPAA and GDPR.,Vulnerability,Higher,,
Sector,Finance,Healthcare finance education and national security sectors are extremely vulnerable as the data they manage are highly sensitive and any leak has severe consequences for individuals and society.,Vulnerability,Higher,,
Sector,Finance,Highest vulnerability sectors are Finance Healthcare Information and National Security due to the criticality and sensitivity of the data they process.,Vulnerability,Higher,,
Sector,Finance,the healthcare Finance Information and National Security sectors are extremely vulnerable due to the highly sensitive data processing.,Vulnerability,Higher,,
Sector,Finance,Finance and Insurance - Extremely Vulnerable. Institutional actors manage the most sensitive data PII transactional history health health-related data.,Vulnerability,Higher,,
Sector,Education,Healthcare finance education and national security sectors are extremely vulnerable as the data they manage are highly sensitive and any leak has severe consequences for individuals and society.,Vulnerability,Higher,,
Sector,Education,Education and Public Administration are also highly vulnerable as they manage personal records of large populations often with limited security budgets.,Vulnerability,Higher,,
